pid,center_gps,coordinate,photo_counts,matched_aoi,matched_aid
1181,"[35.00031059, 135.6851067]","[[35.000395, 135.685165], [35.000395, 135.684993], [35.000243, 135.685165], [35.000243, 135.684993]]",11,[],[]
1182,"[35.00048433, 135.6848164]","[[35.000538, 135.684853], [35.000538, 135.684518], [35.000218, 135.684853], [35.000218, 135.684518]]",23,[],[]
1183,"[35.0002343, 135.68588417]","[[35.000322, 135.686055], [35.000322, 135.685672], [34.999947, 135.686055], [34.999947, 135.685672]]",17,[],[]
1184,"[34.93865072, 135.76533396]","[[34.938805, 135.765438], [34.938805, 135.765198], [34.938619, 135.765438], [34.938619, 135.765198]]",5,[],[]
1185,"[34.93932795, 135.76539572]","[[34.939444, 135.765555], [34.939444, 135.765361], [34.939172, 135.765555], [34.939172, 135.765361]]",3,[],[]
1186,"[34.93862895, 135.76633733]","[[34.938641, 135.766357], [34.938641, 135.766312], [34.938572, 135.766357], [34.938572, 135.766312]]",9,[],[]
1187,"[35.01258782, 135.76095564]","[[35.012705, 135.761146], [35.012705, 135.76076], [35.012564, 135.761146], [35.012564, 135.76076]]",150,[],[]
1188,"[35.01266743, 135.76029266]","[[35.012986, 135.76033], [35.012986, 135.760069], [35.012547, 135.76033], [35.012547, 135.760069]]",26,[],[]
1189,"[35.02767414, 135.7618287]","[[35.028213, 135.762422], [35.028213, 135.761133], [35.027017, 135.762422], [35.027017, 135.761133]]",48,['京都御所'],[41]
1190,"[35.02728131, 135.76237564]","[[35.027694, 135.762734], [35.027694, 135.761833], [35.026586, 135.762734], [35.026586, 135.761833]]",10,['京都御所'],[41]
1191,"[35.02664898, 135.76249205]","[[35.026763, 135.763034], [35.026763, 135.761747], [35.026341, 135.763034], [35.026341, 135.761747]]",17,['京都御所'],[41]
1192,"[35.02747863, 135.75962622]","[[35.028166, 135.759736], [35.028166, 135.759166], [35.027005, 135.759736], [35.027005, 135.759166]]",7,['京都御所'],[41]
1193,"[35.02727141, 135.76067026]","[[35.027888, 135.760803], [35.027888, 135.760038], [35.026944, 135.760803], [35.026944, 135.760038]]",133,['京都御所'],[41]
1194,"[35.027829, 135.76562503]","[[35.02783, 135.765769], [35.02783, 135.765358], [35.027588, 135.765769], [35.027588, 135.765358]]",4,['京都御所'],[41]
1195,"[35.02773837, 135.76491174]","[[35.027747, 135.765169], [35.027747, 135.7649], [35.027594, 135.765169], [35.027594, 135.7649]]",16,['京都御所'],[41]
1196,"[35.0260776, 135.64629787]","[[35.026213, 135.646416], [35.026213, 135.646208], [35.026052, 135.646416], [35.026052, 135.646208]]",5,[],[]
